INFO: December 25, 2018 [23:15:19] FPS: 3402, TICKS: 60
INFO: December 25, 2018 [23:15:20] FPS: 3376, TICKS: 59
INFO: December 25, 2018 [23:15:21] FPS: 3375, TICKS: 60
INFO: December 25, 2018 [23:15:22] FPS: 3397, TICKS: 59
INFO: December 25, 2018 [23:15:23] FPS: 3389, TICKS: 60
INFO: December 25, 2018 [23:15:24] FPS: 3395, TICKS: 59
INFO: December 25, 2018 [23:15:25] FPS: 3400, TICKS: 60
INFO: December 25, 2018 [23:15:26] FPS: 3405, TICKS: 59
INFO: December 25, 2018 [23:15:27] FPS: 3398, TICKS: 59
INFO: December 25, 2018 [23:15:28] FPS: 3403, TICKS: 60
INFO: December 25, 2018 [23:15:29] FPS: 3386, TICKS: 59
INFO: December 25, 2018 [23:15:30] FPS: 3410, TICKS: 60
INFO: December 25, 2018 [23:15:31] FPS: 3324, TICKS: 59
INFO: December 25, 2018 [23:15:32] FPS: 3252, TICKS: 60
INFO: December 25, 2018 [23:15:33] FPS: 3457, TICKS: 59
INFO: December 25, 2018 [23:15:34] FPS: 3411, TICKS: 60
INFO: December 25, 2018 [23:15:35] FPS: 3369, TICKS: 59
INFO: December 25, 2018 [23:15:36] FPS: 3405, TICKS: 60
INFO: December 25, 2018 [23:15:37] FPS: 3562, TICKS: 59
INFO: December 25, 2018 [23:15:38] FPS: 3500, TICKS: 59
INFO: December 25, 2018 [23:15:39] FPS: 4212, TICKS: 60
INFO: December 25, 2018 [23:15:40] FPS: 4060, TICKS: 60
INFO: December 25, 2018 [23:15:41] FPS: 4253, TICKS: 59
INFO: December 25, 2018 [23:15:42] FPS: 3759, TICKS: 60
INFO: December 25, 2018 [23:15:43] FPS: 3862, TICKS: 59
INFO: December 25, 2018 [23:15:44] FPS: 3874, TICKS: 60
INFO: December 25, 2018 [23:15:45] FPS: 4088, TICKS: 59
INFO: December 25, 2018 [23:15:46] FPS: 3760, TICKS: 60
INFO: December 25, 2018 [23:15:47] FPS: 4266, TICKS: 59
INFO: December 25, 2018 [23:15:48] FPS: 3770, TICKS: 60
INFO: December 25, 2018 [23:15:49] FPS: 3867, TICKS: 59
INFO: December 25, 2018 [23:15:50] FPS: 3961, TICKS: 60
INFO: December 25, 2018 [23:15:51] FPS: 4012, TICKS: 59
INFO: December 25, 2018 [23:15:52] FPS: 3881, TICKS: 60
